,doc_title,doc_id,turn,speaker,text,speaker_bioguide,date
309,"TERMINATION OF NATIONAL EMERGENCY DECLARED BY THE PRESIDENT ON FEBRUARY 15, 2019",CREC-2019-02-26-pt1-PgH2130-4,88,Mr. DeFAZIO,"  Mr. DeFAZIO. Mr. Speaker, today had I been present, I would have 
voted in strong support of the bipartisan, privileged resolution to 
terminate President Trump's proclamation ``Declaring a National 
Emergency Concerning the Southern Border of the United States.'' I was 
detained due to severe weather and cancelled flights in Oregon.
  While there is no doubt that our immigration system is broken, the 
president's wall and his proposed funding level is an irresponsible 
waste of taxpayer funds for a structure that would be ineffective and 
do very little for our national security. The emergency declaration is 
nothing more than a power grab by the president to fulfill a campaign 
promise, violating existing law and our constitutional system of 
separation of powers.
  Congress has already rejected the president's proposed border wall, 
and alternatively, by an overwhelmingly bipartisan vote, made robust 
investments in our border security. These investments include $1.375 
billion for approximately 55 miles of physical barrier along the 
southern border, $564 million for imaging equipment at our ports of 
entry, $100 million for new, additional border security technology, 
serious investments in the Alternative to Detention program to provide 
relief to over-crowded detention facilities, and additional funding for 
attorneys and courtroom expansion to assist with our country's growing 
immigration court system backlog.
  Despite these important investments, the president has proposed 
taking more than $6.7 billion to build his wall, including $3.6 billion 
from the Department of Defense's (DoD) high-priority military 
construction projects. These funds are meant to support much-needed 
improvements on military bases around the world, and misallocating 
these funds could undermine the training, readiness, and quality of 
life for our men and women in the Armed Forces. He has also proposed 
stripping $2.5 billion from the DoD's drug interdiction program, which 
could have serious impacts on our ability to combat the flow of illegal 
narcotics.
  Furthermore, the Military Construction Codification Act only 
authorizes the Secretary of Defense to reallocate funds for 
construction projects during a national emergency if the project is 
``necessary to support'' a ``use of the armed forces.'' Our Armed 
Forces are not responsible for enforcing our immigration laws and using 
these funds in this way is in direct violation of existing law.
  Of serious additional legal concern is the fact that the 
administration would need to seize significant amounts of property not 
owned by the federal government in order to build a wall. Currently, 
more than two thirds of border property is owned by private parties or 
the relevant states. In 1952, the Supreme Court held in Youngstown 
Sheet and Tube that President Truman's declaration of national 
emergency, even in the midst of an international armed conflict, did 
not permit him to unilaterally seize private property.
  In recent days, more than two dozen former Republican lawmakers and 
almost 60 former senior national security officials have come out in 
opposition to President Trump's national emergency declaration. These 
individuals are united behind the idea that allowing the president to 
``ignore Congress'' will deprive the American people ``of the 
protections of true representative government.''
  The bottom line is that the president's national emergency 
declaration is an abuse of his constitutional authority and an affront 
to the separation of powers. Congress has the exclusive power of the 
purse, and the Constitution specifically prohibits the president from 
spending money that has not been appropriated. Congress entrusted the 
president with authority to reallocate funds during unforeseen and 
urgent situations, such as wars and natural disasters. By declaring an 
emergency when Congress has overwhelmingly rejected his border wall in 
favor of compromise legislation, President Trump is creating a 
dangerous precedent for future political disputes. Congress must reject 
this presidential overreach and assert its constitutional authority.",D000191,2019-02-26
310,"TERMINATION OF NATIONAL EMERGENCY DECLARED BY THE PRESIDENT ON FEBRUARY 15, 2019",CREC-2019-02-26-pt1-PgH2130-4,89,Ms. BONAMICI,"  Ms. BONAMICI. Mr. Speaker, I rise today to express my support for 
this resolution to terminate the President's declaration of a national 
emergency on February 15, 2019. No such emergency exists on the U.S.-
Mexico border. The President is using this declaration as a false 
pretense to divert taxpayer money, primarily away from the Department 
of Defense, toward the construction of a wasteful, ineffective wall 
along the southern border. This declaration is an unacceptable abuse of 
power that circumvents the constitutional authority of Congress. For 
these reasons, I am a cosponsor of this resolution to terminate the 
declaration pursuant to the provisions of the National Emergencies Act.
  I support taking action to make sure we have the appropriate 
personnel, equipment, facilities, and resources to protect our borders 
from criminal activity like trafficking in drugs or people. Building 
this wall is not a good investment and it will not stop crime or 
illegal immigration along our southern border. Instead of building 
walls, we should instead build bridges to those who are fleeing 
violence and legally seeking asylum in our country. I urge my 
colleagues to join me in rejecting the President's abuse of power by 
supporting this resolution.",B001278,2019-02-26
311,"TERMINATION OF NATIONAL EMERGENCY DECLARED BY THE PRESIDENT ON FEBRUARY 15, 2019",CREC-2019-02-26-pt1-PgH2130-4,90,The SPEAKER pro tempore,"  The SPEAKER pro tempore. All time for debate has expired.
  Pursuant to House Resolution 144, the previous question is ordered.
  The question is on the engrossment and third reading of the joint 
resolution.
  The joint resolution was ordered to be engrossed and read a third 
time, and was read the third time.",,2019-02-26
312,"TERMINATION OF NATIONAL EMERGENCY DECLARED BY THE PRESIDENT ON FEBRUARY 15, 2019",CREC-2019-02-26-pt1-PgH2130-4,91,The SPEAKER pro tempore,"  The SPEAKER pro tempore. The question is on the passage of the joint 
resolution.",,2019-02-26
313,"TERMINATION OF NATIONAL EMERGENCY DECLARED BY THE PRESIDENT ON FEBRUARY 15, 2019",CREC-2019-02-26-pt1-PgH2130-4,92,Mr. GRAVES of Missouri,"  Mr. GRAVES of Missouri. Mr. Speaker, on that I demand the yeas and 
nays.",G000546,2019-02-26
314,"TERMINATION OF NATIONAL EMERGENCY DECLARED BY THE PRESIDENT ON FEBRUARY 15, 2019",CREC-2019-02-26-pt1-PgH2130-4,93,The SPEAKER pro tempore,"  The SPEAKER pro tempore. Pursuant to clause 8 of rule XX, further 
proceedings on this question will be postponed.
",,2019-02-26
315,PERSONAL EXPLANATION,CREC-2019-02-26-pt1-PgE210-2,0,Mr. DeFAZIO,"  Mr. DeFAZIO. Madam Speaker, I missed votes on Monday, February 25 due 
to inclement weather in Oregon. Had I been present, I would have voted 
``yea'' on Roll Call No. 89; and ``yea'' on Roll Call No. 88.
",D000191,2019-02-26
316,COMMENDING CORRECTIONS OFFICERS,CREC-2019-02-26-pt1-PgH2219-5,0,Mr. THOMPSON of Pennsylvania,"  Mr. THOMPSON of Pennsylvania. Madam Speaker, this month I met with 
representatives from two Federal correctional institutions located in 
the 15th District of Pennsylvania: FCI McKean and FCI Loretto.
  I thank the representatives for visiting my Washington, D.C., office 
and taking the time to discuss their priorities for the year ahead. 
They shared the need to increase staffing levels at Federal prisons 
because low personnel numbers can result in a more dangerous working 
environment.
  Today I commend corrections officers at FCI McKean and Loretto and 
all across our country who help protect our communities and uphold the 
values of our justice system. Officers face dangerous situations in the 
workplace every day, but that does not deter them.
  Just like our first responders, corrections officers are regularly 
risking their lives to keep their community members safe. They enforce 
the rule of law, and they carry out their duties without complaint. 
Their dedication and sacrifice often goes unnoticed by the public, but 
we owe them our gratitude.
  Madam Speaker, let us always thank them for the important work that 
they do to keep us safe.
",T000467,2019-02-26
317,STATEHOOD FOR DISTRICT OF COLUMBIA,CREC-2019-02-26-pt1-PgH2109,0,The SPEAKER pro tempore,"  The SPEAKER pro tempore. The Chair recognizes the gentlewoman from 
the District of Columbia (Ms. Norton) for 5 minutes.",,2019-02-26
318,STATEHOOD FOR DISTRICT OF COLUMBIA,CREC-2019-02-26-pt1-PgH2109,1,Ms. NORTON,"  Ms. NORTON. Madam Speaker, tomorrow, our residents who are fortunate 
to live in our Nation's Capital will come to the Capitol as part of 
their Lobby Day to ask the Congress to pass the D.C. statehood bill.
  Most Americans are unaware that the Americans who live in their 
Nation's Capital have the fewest rights of any Americans. That is at 
the same time that those 700,000 residents who live in the Nation's 
Capital pay the highest taxes per capita, higher than the taxes of the 
residents of any State.
  As you might imagine, the residents of the District of Columbia are 
seeking to become the 51st State of the Union. I am pleased that 
already almost 90 percent of Democrats are on our D.C. statehood bill. 
I am grateful to Senator Carper, who will soon introduce this same bill 
on the Senate side.
  There are many reasons that no Americans should fail to have equal 
rights if they pay equal taxes. But surely, service in every war the 
Nation has fought, even beyond being first per capita in Federal income 
taxes, should qualify the 700,000 residents of the District of Columbia 
for equal treatment as the 51st State.
  On this poster, we see why any State would stand for its rights: 
World War I, more casualties of people who live in the District of 
Columbia than three States; the Korean war, more casualties than those 
of eight States; World War II, casualties are more than four States; 
and the Vietnam war, casualties that outnumber those in 10 States.
  The residents of the District of Columbia will be here to say to my 
colleagues that 200-plus years--it is about 218 years now--without 
equal rights is 218 years too many.
  Nobody who lives in our country and pays taxes should be 
unrepresented on this floor when votes are taken. I appreciate that I 
can now vote for the District of Columbia in the Committee of the 
Whole, where some votes are taken. But District resident have no 
representation on this floor and none in the Senate at all.
  It is past time to right this wrong. We cannot do it for those who 
have died in war for our country. We can certainly do it in their 
memory.
",N000147,2019-02-26
319,TRAGIC FLOODING,CREC-2019-02-26-pt1-PgH2220,0,Mr. BURCHETT,"  Mr. BURCHETT. Madam Speaker, I rise tonight concerned about residents 
of my district dealing with flooding that claimed one life there and 
has damaged roads and private property throughout the region. The loss 
of life during this recent flooding is tragic, and my family and I 
continue to pray for everyone affected back home.
  One group of people deserves to be recognized for the work they do in 
times of crisis, and they are our first responders and other emergency 
personnel. When the rest of us are seeking shelter from the storm, the 
men and women who make up our fire and police departments, rescue 
crews, and emergency communications professionals are going to work to 
coordinate a rapid response that will save lives and help limit 
property damage.
  It is appropriate that during these times of disaster we continue to 
pray for those who are suffering and show appreciation for those who 
work so hard to protect us.
  Madam Speaker, I ask that all my House colleagues join me in doing 
that.
",B001309,2019-02-26
320,PERSONAL EXPLANATION,CREC-2019-02-26-pt1-PgE210-5,0,Ms. FRANKEL,"  Ms. FRANKEL. Madam Speaker, on roll call votes 88 and 89, I was not 
present because I was unavoidably detained. Had I been present, I would 
have voted ``yea'' and ``yea.''


",F000462,2019-02-26
321,SENATE SELECT COMMITTEE ON ETHICS RULES OF PROCEDURE,CREC-2019-02-26-pt1-PgS1473,0,Mr. ISAKSON,"  Mr. ISAKSON. Madam President, in accordance with rule XXVI, paragraph 
2 of the Standing Rules of the Senate, I ask unanimous consent, for 
myself as chairman of the Select Committee on Ethics and for Senator 
Christopher A. Coons, vice chairman of the committee, that the rules of 
procedure of the Select Committee on Ethics, which were adopted 
February 23, 1978, and revised November 1999, be printed in the Record 
for the 116th Congress.",I000055,2019-02-26
322,RECOGNIZING THE 20TH ANNIVERSARY OF WELCOMING THE STRANGER,CREC-2019-02-26-pt1-PgH2108-2,0,The SPEAKER pro tempore,"  The SPEAKER pro tempore. The Chair recognizes the gentleman from 
Pennsylvania (Mr. Fitzpatrick) for 5 minutes.",,2019-02-26
323,RECOGNIZING THE 20TH ANNIVERSARY OF WELCOMING THE STRANGER,CREC-2019-02-26-pt1-PgH2108-2,1,Mr. FITZPATRICK,"  Mr. FITZPATRICK. Madam Speaker, I rise today to recognize a nonprofit 
organization in Bucks County, Pennsylvania, that is celebrating its 
20th year of service helping immigrants settle in the United States.
  Welcoming the Stranger, based in Langhorne, was founded in 1999 by 
the late Reverend Sturgis Poorman.
  Welcoming the Stranger has provided countless opportunities for 
immigrants in southeastern Pennsylvania from over 100 countries.
  Welcoming the Stranger offers English language classes and courses in 
citizenship preparation and computer science. Their programs have been 
so popular that they often expand to 300 attendees, packing houses of 
worship and community centers across Bucks County.
  Madam Speaker, I applaud the work of Welcoming the Stranger, and I 
wish the organization all the best as it enters its 20th year of 
service to our community.
  I would also like to extend my appreciation to Meg Eubank, the 
executive director of Welcoming the Stranger, for her work and her 
vision.



                  Honoring Friends of Five Mile Woods
",F000466,2019-02-26
324,RECOGNIZING THE 20TH ANNIVERSARY OF WELCOMING THE STRANGER,CREC-2019-02-26-pt1-PgH2108-2,2,Mr. FITZPATRICK,"  Mr. FITZPATRICK. Madam Speaker, I rise to honor a group of 
conscientious citizens in Bucks County, Pennsylvania, who were recently 
recognized for their environmental stewardship.
  Earlier this month, the Lower Makefield Board of Supervisors and the 
Lower Makefield Environmental Advisory Council awarded Friends of Five 
Mile Woods with its annual Environmental Stewardship Award. Friends of 
Five Mile Woods, which has been a presence in Bucks County since the 
1980s, seeks to protect the landscape of Five Mile Woods Preserve.
  One of the most successful programs the organization has implemented 
is its volunteer cleanup efforts on the second Saturday of the months 
of March through November. During these Saturdays, dedicated volunteers 
pick up trash, maintain trails, and repair infrastructure in the 285-
acre preserve.
  Madam Speaker, Friends of Five Mile Woods helps provide amazing 
nature experiences and educational opportunities for our community in 
Bucks County. I congratulate them on this award and applaud the work of 
John Lloyd, chairman of the organization, and the Lower Makefield Board 
of Supervisors.


         Recognizing Meghan Schulz for Her Win on ``Jeopardy''
",F000466,2019-02-26
325,RECOGNIZING THE 20TH ANNIVERSARY OF WELCOMING THE STRANGER,CREC-2019-02-26-pt1-PgH2108-2,3,Mr. FITZPATRICK,"  Mr. FITZPATRICK. Madam Speaker, I rise today to recognize a resident 
of Bucks County, Pennsylvania, who recently made us all proud from her 
successful appearance on ``Jeopardy.''
  Meghan Schulz, a resident of Bristol and an environmental engineer 
for SEPTA, appeared on the hit television show last month. Going into 
the final round, Meghan was in second place with $14,000. She was able 
to clinch her victory, however, when she successfully answered that 
Mariah Carey was the New York native who, in the 1990s, had eight of 
her first 10 Billboard Top 40 hits reach number one.
  Her closest competitor, whom she trailed by $400 going into Final 
Jeopardy, incorrectly guessed Whitney Houston, putting Meghan over the 
top.
  Madam Speaker, I congratulate Meghan on this major accomplishment. It 
is a major feat to be selected to participate on this famous show to 
begin with, but to win against other highly intelligent competitors is 
something truly noteworthy.
  I wish Meghan and her family all the best, and we congratulate her on 
this achievement.
",F000466,2019-02-26
326,SUPPORTING THE GOALS AND IDEALS OF CAREER AND TECHNICAL EDUCATION MONTH,CREC-2019-02-26-pt1-PgS1496-2,0,Ms. MURKOWSKI,"  Ms. MURKOWSKI. Madam President, I ask unanimous consent that the 
Senate proceed to the immediate consideration of S. Res. 79, submitted 
earlier today.",M001153,2019-02-26
327,SUPPORTING THE GOALS AND IDEALS OF CAREER AND TECHNICAL EDUCATION MONTH,CREC-2019-02-26-pt1-PgS1496-2,1,The PRESIDING OFFICER,  The PRESIDING OFFICER. The clerk will report the resolution by title.,,2019-02-26
328,SUPPORTING THE GOALS AND IDEALS OF CAREER AND TECHNICAL EDUCATION MONTH,CREC-2019-02-26-pt1-PgS1496-2,2,Ms. MURKOWSKI,"  Ms. MURKOWSKI. I further ask unanimous consent that the resolution be 
agreed to, the preamble be agreed to, and the motions to reconsider be 
considered made and laid upon the table with no intervening action or 
debate.",M001153,2019-02-26
329,SUPPORTING THE GOALS AND IDEALS OF CAREER AND TECHNICAL EDUCATION MONTH,CREC-2019-02-26-pt1-PgS1496-2,3,The PRESIDING OFFICER,"  The PRESIDING OFFICER. Without objection, it is so ordered.",,2019-02-26
330,DAVID ELDER,CREC-2019-02-26-pt1-PgE212-4,0,Mr. BALDERSON,"  Mr. BALDERSON. Madam Speaker, I rise today to honor the memory of 
David Elder, a committed public servant, loving husband, and devoted 
father and grandfather. David passed away on February 23, 2019 at the 
age of 70. He was a dedicated public servant to Worthington, Ohio, for 
36 years.
  David's admirable career of service to Worthington began when he 
interned while completing his master's degree at The Ohio State 
University. Skillfully demonstrating his capabilities as an intern, he 
was hired in 1971 to serve as an administrative assistant. Over the 
course of the following decade, David proved he possessed a dedicated 
work ethic, which helped him advance in his career. He was appointed as 
Worthington City Manager in 1981, a title he held for 26 years. Though 
he left office in 2007, his legacy is not forgotten. His strong ethical 
character, enthusiastic compassion, and devoted service to his home 
town made him the consummate example of a public servant.
  Though he will be missed dearly, I am confident that his memory will 
live on through his exemplary life's work and will continue to serve as 
an inspiration for individuals considering a path in public service. 
Please keep his beloved wife, Ann, daughters Stephanie and Lauren, and 
numerous grandchildren in your prayers as they celebrate David's life 
in the coming days.
",B001306,2019-02-26
331,ANNOUNCEMENT BY THE SPEAKER PRO TEMPORE,CREC-2019-02-26-pt1-PgH2110-4,0,The SPEAKER pro tempore,"  The SPEAKER pro tempore. The Chair will entertain up to 15 further 
requests for 1-minute speeches on each side of the aisle.
",,2019-02-26
332,SENATE RESOLUTION 79--SUPPORTING THE GOALS AND IDEALS OF CAREER AND TECHNICAL EDUCATION MONTH,CREC-2019-02-26-pt1-PgS1494-3,0,Mr. KAINE,"  Mr. KAINE. Mr. President, our Nation's continued economic progress 
and the social mobility of our citizens are contingent on the education 
and skills of the American workforce and its ability to adjust and 
fulfill the needs of the 21st century economy. Career and technical 
education (CTE) programs are an essential piece of every student's 
education, providing them access to the important knowledge, skills, 
and credentials needed to obtain careers in rapidly growing, high-
demand fields. Today, approximately 12.2 million students across the 
Nation are enrolled in CTE programs offered by thousands of career 
academies, comprehensive high schools, CTE high schools, community 
colleges, and CTE centers. Through intentionally designed applied 
learning, these students gain workplace skills and technical training 
that mirror in-demand positions in the workforce.
  In the coming decade, a projected 3 million skilled workers will be 
needed to fill infrastructure positions in the United States, including 
jobs related to designing, building, and operating transportation, 
housing, telecommunication, and utilities facilities. CTE programs 
intentionally match employability skills with workforce demands, 
lowering the probability of students dropping out of high school and 
increasing their likelihood of graduating on time. These skills-based 
training programs will help fill the estimated 30 million U.S. jobs 
available with an average income annual income of $55,000 that do not 
require a bachelor's degree yet necessitate some level of postsecondary 
education.
  Across Virginia, I hear from manufacturers frustrated by the shortage 
of qualified skilled production employees--roles that require the 
training and instruction provided in CTE classrooms. It is essential 
that we elevate the important role of CTE in the country's ability to 
meet the interconnected challenges of economic development, student 
achievement, and global competitiveness. Last year, Congress affirmed 
the importance of CTE by passing the Strengthening Career and Technical 
Education for the 21st Century Act which supports CTE programs in 
secondary and postsecondary education.
  Today, with my Senate CTE Caucus co-chairs Senator Portman, Senator 
Baldwin, and Senator Young and 47 colleagues in the Senate, I am 
pleased to introduce a bipartisan resolution to designate February as 
Career and Technical Education (CTE) month. CTE Month encourages 
students, parents, counselors, educators, and school leaders to learn 
more about the diverse educational opportunities offered in their 
communities, and recognize the valuable role of CTE in developing a 
well-educated and highly skilled workforce in the United States.
  By formally recognizing CTE Month through this resolution, it is our 
aim to raise greater awareness of the importance of improving access to 
high-quality CTE for millions of America's students and our nation's 
ongoing economic competitiveness.
",K000384,2019-02-26
333,RECOGNITION OF THE MAJORITY LEADER,CREC-2019-02-26-pt1-PgS1447-4,0,The PRESIDING OFFICER (Mrs. Hyde-Smith),"  The PRESIDING OFFICER (Mrs. Hyde-Smith). The majority leader is 
recognized.
",,2019-02-26
334,ADJOURNMENT,CREC-2019-02-26-pt1-PgH2231-2,0,Mr. SCHWEIKERT,"  Mr. SCHWEIKERT. Madam Speaker, I move that the House do now adjourn.",S001183,2019-02-26
335,BORDER SECURITY,CREC-2019-02-26-pt1-PgH2220-7,0,Mr. HARRIS,"  Mr. HARRIS. Madam Speaker, it is a shame that the new House majority, 
instead of fully funding border security, a few minutes ago actually 
passed H.J. Res. 46, which would reverse the President's emergency 
declaration that he signed 2 weeks ago that secures our border.
  Now, in Maryland, we have a real problem. We are the second most 
active State for MS-13, which just walks across our border now because 
we don't have barriers. We have a huge problem, like every State in the 
Union, with drugs, with opioids that are just walked across our border, 
which isn't secured. And, Madam Speaker, we have a huge problem with 
human trafficking.
  If this resolution is passed by the Senate, I hope that the President 
vetoes the resolution, we sustain that veto, and we finally secure our 
border.
",H001052,2019-02-26
336,DIRECTING THE SECRETARY OF THE SENATE TO MAKE A CORRECTION IN THE ENROLLMENT OF THE BILL S. 47,CREC-2019-02-26-pt1-PgH2219-2,0,Mr. GRIJALVA,"  Mr. GRIJALVA. Mr. Speaker, I send to the desk a concurrent resolution 
and ask unanimous consent for its immediate consideration in the House.",G000551,2019-02-26
337,DIRECTING THE SECRETARY OF THE SENATE TO MAKE A CORRECTION IN THE ENROLLMENT OF THE BILL S. 47,CREC-2019-02-26-pt1-PgH2219-2,1,The SPEAKER pro tempore,"  The SPEAKER pro tempore. Is there objection to the request of the 
gentleman from Arizona?",,2019-02-26
338,RECOGNIZING LENAWEE COUNTY SHERIFF JACK WELSH,CREC-2019-02-26-pt1-PgH2110-8,0,Mr. WALBERG,"  Mr. WALBERG. Mr. Speaker, I rise today to recognize Lenawee County 
Sheriff Jack Welsh as he retires after 43\1/2\ years of service to 
Lenawee County, Michigan.
  Sheriff Welsh has served in many roles during his law enforcement 
career, beginning as a volunteer reserve deputy and eventually working 
his way up to captain.
  After his initial retirement from the sheriff's department in 2007, 
he went on to become an emergency management regional planner.
  Then, in 2008, he accepted the call to run for sheriff, where he has 
served ever since.
  Law enforcement officers like Sheriff Welsh are the fabric of our 
community. Day in and day out, they answer the call to serve and 
protect.
  Over the years, Sheriff Welsh has been one of the very best. He is a 
man of integrity, a dedicated public servant, and a trusted friend to 
many. He has been instrumental in making Lenawee County a better and 
safer place to call home.
  I thank Sheriff Welsh for his decades of distinguished service, and I 
wish him nothing but the best as he begins his retirement.


",W000798,2019-02-26
339,APPOINTMENT OF MEMBER TO CONGRESSIONAL-EXECUTIVE COMMISSION ON THE PEOPLE'S REPUBLIC OF CHINA,CREC-2019-02-26-pt1-PgH2221-2,0,The SPEAKER pro tempore (Ms. Scanlon),"  The SPEAKER pro tempore (Ms. Scanlon). The Chair announces the 
Speaker's appointment, pursuant to 22 U.S.C. 6913, and the order of the 
House of January 3, 2019, of the following Member on the part of the 
House to the


Congressional-Executive Commission on the People's Republic of China:
  Mr. McGovern, Massachusetts, Chair
",,2019-02-26
340,"REQUEST TO CONSIDER H.R. 962, BORN-ALIVE ABORTION SURVIVORS PROTECTION ACT",CREC-2019-02-26-pt1-PgH2219-3,0,Mr. PALMER,"  Mr. PALMER. Mr. Speaker, I ask unanimous consent that the Committee 
on the Judiciary be discharged from further consideration of H.R. 962, 
the Born-Alive Abortion Survivors Protection Act, and ask for its 
immediate consideration in the House.",P000609,2019-02-26
341,"REQUEST TO CONSIDER H.R. 962, BORN-ALIVE ABORTION SURVIVORS PROTECTION ACT",CREC-2019-02-26-pt1-PgH2219-3,1,The SPEAKER pro tempore,"  The SPEAKER pro tempore. Under guidelines consistently issued by 
successive Speakers, and recorded in section 956 of the House Rules and 
Manual, the Chair is constrained not to entertain the request unless it 
has been cleared by the bipartisan floor and committee leaderships.",,2019-02-26
342,"REQUEST TO CONSIDER H.R. 962, BORN-ALIVE ABORTION SURVIVORS PROTECTION ACT",CREC-2019-02-26-pt1-PgH2219-3,2,Mr. PALMER,"  Mr. PALMER. Mr. Speaker, if this unanimous consent request, which 
would prevent the killing of a living child, cannot be entertained, I 
wonder what might be.",P000609,2019-02-26
343,"REQUEST TO CONSIDER H.R. 962, BORN-ALIVE ABORTION SURVIVORS PROTECTION ACT",CREC-2019-02-26-pt1-PgH2219-3,3,The SPEAKER pro tempore,"  The SPEAKER pro tempore. The gentleman has not been recognized for 
debate.
",,2019-02-26
344,HIGH-SPEED RAIL IN CALIFORNIA,CREC-2019-02-26-pt1-PgH2220-6,0,Mr. LaMALFA,"  Mr. LaMALFA. Madam Speaker, California's high-speed rail system has 
broken promise after promise and made false claim after false claim.
  I want to commend President Trump for working to pull back the $928 
million that is still authorized, that could be reachable, and turn 
this money into something that could be useful for more Americans or 
even for more Californians.
  Now, we also need to send a bill to the State of California for $2.5 
billion for the money they wasted for a project that has not fulfilled 
what was required in the proposition the people passed by 52 percent to 
48 percent. The price has more than tripled since then.
  We need to focus on doing the transportation projects in the country 
that would actually help move people in a fashion that they can use.
  Governor Newsom was right there with his State of the State speech 
the other day. I know he knows different.
  Let's go ahead and put a stop to this project, put the money back 
into fixing our highway system or our levee system or our water system 
in the State of California and not send the bill to the other 49 States 
of this country that, in good faith, initially sent that as part of the 
stimulus package. Let's put it into good, solid projects.
",L000578,2019-02-26
345,AMERICAN VOTING SYSTEM,CREC-2019-02-26-pt1-PgH2226,0,The SPEAKER pro tempore,"  The SPEAKER pro tempore. Under the Speaker's announced policy of 
January 3, 2019, the Chair recognizes the gentleman from Florida (Mr. 
Yoho) for 30 minutes.",,2019-02-26
346,AMERICAN VOTING SYSTEM,CREC-2019-02-26-pt1-PgH2226,1,Mr. YOHO,"  Mr. YOHO. Madam Speaker, my colleagues and I rise today in opposition 
of H.R. 1. This bill is nothing more than a thinly veiled attack on the 
American voting system designed to allow Democrats to keep the majority 
in the House of Representatives, and I will explain and illustrate.
  As a Member of Congress, we have a responsibility to ensure that 
every American vote is counted and protected, especially because our 
democratic society relies on participation in the democratic process 
through free and fair elections. While I support efforts to involve all 
Americans in our electoral process, I cannot support this 
unconstitutional legislation.
  Madam Speaker, let me lay out for you some of the most absurd 
provisions in this legislation.
  H.R. 1 creates Federal Government subsidized elections. For the 
people watching on C-SPAN, if they don't have insomnia, I want them to 
hear that again. H.R. 1 creates Federal Government subsidized elections 
through a 6-1 ratio for government matches to small donor contributions 
for congressional or Presidential campaigns.
  For the government to give matches--subsidized elections--that means 
they are taking money from you to go to candidates, hopefully of your 
choice, but not necessarily. So the donor contributions for 
congressional or Presidential campaigns, which means for every $200 an 
individual donates, the Federal Government will take $1,200 of the 
American taxpayers' money and distribute it.
  Additionally, H.R. 1 removes the checks our current voting system has 
in place to ensure eligible voters are casting ballots by forcing 
States to accept online and same-day voter registration. I don't think 
that has ever happened before, where H.R. 1 removes the checks our 
current voting system has in place to ensure only eligible voters are 
casting vote ballots by forcing States to accept online and same-day 
voter registration with no penalties for ineligible voters.
  That means somebody could show up, an individual, and cast multiple 
ballots or votes, or vote without meeting the current requirements, and 
they will not be reprimanded. There is no recourse. Who is going to go 
after somebody after they have already cast their vote and they weren't 
an eligible


voter? Nobody will go after these people, so it can sway elections. 
That is what H.R. 1 does.
  By removing the consequences of illegal voting, this bill is, in 
turn, encouraging it. It should be doing the opposite. The right and 
privilege of us as American citizens to vote is something we should all 
garner and protect as American citizens. And, again, this is not a 
partisan issue, it is not Democrats or Republicans, this is an American 
issue, and I think people would be incensed on all parties.
  Additionally, this bill allows Federal employees to take 6 days of 
paid leave to be poll workers. So the American taxpayers are going to 
pay Federal workers to be poll watchers. This is something that has 
always been done voluntarily by our precinct captains, both Republican 
and Democrat, in our districts, where politics is always best locally.
  But the Federal Government wants to intervene here and say: No, we 
are going to give you guys 6 days off. How many people do you think, 
that are Federal employees, will take 6 days off of paid leave? 
Probably a lot, wouldn't you expect?
  Madam Speaker, we pay our Federal employees to do the job they were 
hired to do, not to be poll workers for our districts. That is 
something that the American voting process has done for over 200 years 
by volunteers that are passionate and care about this country.
  In fact, Federal employees already receive paid leave that they can 
take for any purpose they choose, including being poll workers. Why 
should the Federal Government pay? And I want to reword that, because 
it is not the Federal Government paying them. It is the American 
taxpayers paying money out of their paycheck that goes to the Federal 
Government that the Federal Government thinks they know better how to 
spend that money than they do. So why should the Federal Government pay 
to give them additional leave that can only be used for this purpose?
  Madam Speaker, there are just three provisions outlined in this 
almost 600-page bill, and I would venture most people will not read 
this when it comes up for a vote. And while I can further elaborate, I 
will let my colleagues share their thoughts with you.
  Madam Speaker, I yield to the gentleman from Arizona (Mr. Biggs).",Y000065,2019-02-26
